NUMMER,AUSGESCHALTET_TXT,BELEUCHTUNGSTYP_TXT,BAUART_TXT,E,N
46,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684680.039,1252583.534
45,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684689.249,1252542.174
83,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684390.992,1252758.136
82,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684391.992,1252729.826
16,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684412.254,1252909.235
24,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684463.194,1252959.905
72,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684480.651,1252678.275
64,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684531.831,1252669.635
32,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684483.785,1253045.094
38,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684510.376,1253095.934
44,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684538.726,1253150.313
42,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684541.306,1253109.393
45,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684555.246,1253135.973
54,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684601.947,1253212.212
72,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684681.547,1253280.122
75,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684692.928,1253305.872
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684384.054,1253593.469
4,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684403.565,1253631.527
85,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684702.499,1253383.861
